Text,Category
@amirhsykrh @americeno Ya right ! Mira filzah pun tak nak diorng . Bersyukur la sikit ada orang sayang even muka cama hapak .,0
"No need skin care or make up, beli saja hp oppo atau vivo
Ya ya ya ya ",0
@askmenfess enaaak karena aku gabisa sarapan langsung pake nasi dan bikin kenyang juga kok,0
@LinaKlasik Ya. Orang kita suka cili.,0
"[]

Jungkook lupa pakai sabuk , lucu banget staffnya pake caption bunny

Semua orang tau dia bunny

# #BTS https://t.co/74hkZy8dlN",0
Betul sekali. Sementara Jokowi menampilkan anti tesanya dg kampanye santai dan plural https://t.co/ib9iYSB5tk,0
Gamuda terima tawaran Kementerian Kewangan https://t.co/JToYHmvp1S,0
"Info 02/04/2019
Kerja dibawah skop R01 (Patching pothole) di laluan Jalan Air Panas La / Felda Tenang sec. 4.9
Aht https://t.co/bkcDRVQef8",0
"@adil_ah 5) Bangunkan pusat2 tarikan perlancongan bersepadu Ktan &amp; Tganu, di bawah seliaan negeri, dan akhirnya c https://t.co/JrkLUyUYcA",0
Program Inisiatif Mensejahterakan Rakyat WP Labuan 2019 #flickr https://t.co/fhiz4RkGhS,0
@destryangryana cantik bgt kaa ini make eyeshadow apa?,0
"@askmenfess Sekarang gara2 hapenya ortu pada baru, lebih suka vcg biar bisa liat muka. https://t.co/PUzU2oRmaU",0
"Kemakmuran Bersama Setahun Malaysia Baharu:

The Rule of Law - YAB Perdana Menteri @chedetofficial https://t.co/jNPmCrm3wv",0
Ada jg rumah pohon yang dibuat di ketinggian 17 meter. Tempat yang asyik untuk bersantai menikmati hutan mangrove K https://t.co/3gq6vPaJ0d,0
hey bae @michaelperezx  imu,0
"Kalau dulu Ds Najib Razak punya pelan masa depan ke arah Negara Maju berpendapatan tinggi.. 

Kadar gaji di sektor https://t.co/HLcs8vgPiq",0
"Companies in the news: Genting Malaysia, Kerjaya Prospek, Boustead Holdings, KKB Engineering, Seacera, Aeon Credit, https://t.co/WWdJ31sq5z",0
"LD 110
PB 140
LB 250

Busui friendly - sleting depan
Kantkng kiri dan kanan
Ada tali pinggang
Tangan karet.

WA 082348757529",0
@Metro_TV Kangen sama TPI(TV Pendidikan Indonesia) kalau pak @prabowo @sandiuno menang semoga ada tv yg berubah nam https://t.co/cWldJOQGLl,0
"Sekolah rendah berusia 193 tahun di Pulau Pinang dapat kemudahan digital

https://t.co/Vi5XNGPCPZ https://t.co/lSmagUSnNk",0
"@SpicyQwin Ya sama juga kl ada yg komen di blog : nampaknya enak banget ya tinggal di Belanda, santai, nyaman, dan https://t.co/3fkWXM3zDE",0
Jangan ditenggelamkan ya bu @susipudjiastuti. Kami berdua masih mau menikmati ikan kakap dan kerapu soalnya. Indone https://t.co/fGmmRdbUPg,0
BMKG at it best! ,0
"@ChennaiIPL @ShaneRWatson33 Dhoni ku en out kuduthanga, decision crucial ah iruntha batsman ku favor ah tha decisio https://t.co/lHAj1KgJmq",0
Cubaan pertama buat soft cookies mcm subway menjadi. Lps ni tkyah pi subway lg dah,0
@myouisraron Jadi kamu suka mandi gak?,0
Program balik kawasan parlimen Pasir Gudang pada Sabtu 06/4/2019: Merasmikan PIBG SK Johor Jaya 1 dan Penyampaian anugerah pelajar cemerlang,0
Biasanya di Juli akan ada hadiah dariNya untukku,0
Jadi fan adik ni lah!,0
Ternyata emang pendidikan agama sejak dini read: madrasah adalah pendidikan yg sesuai ajaran rosul tidak ada ikut c https://t.co/6VRjmrdKB6,0
"""Sudah menjadi kewajiban orang terdidik untuk mendidik.""

Selamat hari pendidikan nasional! Maju terus pendidikan I https://t.co/9nCi8ZvaGf",0
Rita rudaini is such a saint in empat penjuru. Aku rasa semua isteri nak ada character macam dia. Very gentle and s https://t.co/6T50Oi2x02,0
"@AskRapidKL hai admin , bus 753 hala ke hub seksyen 2 ade di mana ya ? Lokasi menunggu di uitm puncak alam . Tq ",0
@Anam7893 Iya fajar itu memang indah :',0
2 Maskara Lokal Bagi Pemula untuk Bulu Mata Lentik Lebih Lama https://t.co/VU2qlwSFVx,0
Nasib baik sekejap jer.,0
"Sy degree holder n sblm dpt kja pnah je buat kje cuci2 kt tgh panas. Tp skrg yg aq benggang klia 2, mall byk tmpat https://t.co/TaMioyo9tK",0
Staf Ahli Menteri Koperasi dan UKM bidang Produktivitas dan Daya Saing Herustiati memberikan sambutan sekaligus mem https://t.co/5yK7QQHP71,0
klo ngupil suka yg kanan pa kiri ? @ENAKROA97,0
@BorakBuku @prologmed juga menampilkan cover buku unik sesuai dengan genre penerbitan mereka. Booth di Dewan Mawar.,0
@Poidoidoi Strong jugak okaysss ,0
@BidadariMHZ Jgn salahkan bby la lepas nie padahal ibu dia suka makan,0
"Ada sik kitakorg rasa pelik dengan kedai serbaneka macam tok? area matang, kuching nang melambak.. pengunjung pun b https://t.co/jgYsrv03sM",0
"Di dunia sepak bola, ada pemain-pemain bintang yang beragama Buddha. Beberapa di antaranya mampu berprestasi di lev https://t.co/pMYIy0WRUK",0
Heliza dan hazwani terbaik #BBB2019,0
"15/5 4. Paso. Berbentuk kerucut dan dibungkus daun pisang, Paso adalah kue tradisional Sulawesi Barat yang terbuat https://t.co/oe0Exs1sY5",0
"Bang Jek dan @benzbara_ seneng nih denger Sobat Neneng Lestari, @lyndaibrahim, Aswindri suka banget sama hadiah https://t.co/TG4wn5NFSn",0
"Hal yang membuatmu senang hari ini?  I got this question yesterday, should I answer with what I did yesterday or t https://t.co/OLcbSreBPR",0
"Lihat pada tayangan data yang dipinggir sebelah kanan ini di Indosiar yang menang Prabowo , sebelum datanya di sula https://t.co/HVhHV6Hooc",0
"From Hokkaido with  
Pakngah @remy_ishak makngah @MFMiraFilzah sweet2 swetttttt
#PujaanHatiKandaRaya https://t.co/t0SJyx5Cg8",0
"Terus kan lagi ada temen adek ku yang kls 3 sd, mereka main di gudang. Gudang nya bersih jadi mereka main disitu, t https://t.co/GMlyL0LVwf",0
Kunjungan mantan timnas sepak bola Indonesia Kurniawan Dwi Yulianto dan Ponaryo Astaman bersama Tim MILO Football C https://t.co/WZmSwy3H4i,0
RT : Tol_Borr: 02:00 WIB Pantauan CCTV Sentul - Tanah Baru - Kd Halang - Kd Badak - Kd Jaya Lalin Lancar Kedua Arah https://t.co/8jFWHbAI2Y,0
"@encik_alif Ayam kureng lah paling best beef burger dia mmg best dari kecik lagi mmg suka burger daging dia, tambah https://t.co/ImSg1GEiZC",0
"BASEUS USB 3.0 Type-C Fast Charging / Data Cable - Galaxy S9, S10, Xiaomi, HTC, LG, Nokia, OnePlus https://t.co/crdfVPzcxF",0
"Selamat pengantin baru Pokci &amp; Anis! Semoga berbahagia bersama hingga anak cucu!

P/s : Terlupa bawa passport. Nasi https://t.co/ikhnKG5c0S",0
"@chimlips Iya gpp kog, aku mengerti, kehidupan ini ada yang manis2 dan ada yg pait2 :')",0
"https://t.co/i8hzPxC33i

Apakah kalian telah menontonnya?
This song is very sweet",0
@liputan6dotcom Batu membara...,0
@askfess Itu apa ? Kaya minyak  urut dari China ea,0
"""mau cerita 18+ nih, aman g?""

Yaela lu kira gue dibawah umur :(((",0
Kami datang beri kejutan terus ke rumah dia bersama abang MILO. Dia juga berkongsi MILO bersama anak-anak yatim Tam https://t.co/Nqazh0Q3K1,0
"#RabuPutih Optimis Indonesia Maju !! Ingat 17 April 2019 Coblos 01 yg Baju Putih yaa.

#RabuPutih https://t.co/LVACGnMSHY",0
WayV kenapa di kasih lagu recycle mulu si?,0
` Keren! Pikap Suzuki Carry 2019 Ditanamkan Fitur Mobil Modern https://t.co/CeMk5TIVNe,0
"Tempat latihan industri student sendiri pilih. Tapi kalau berbaloi nak belajar, xda elaun pun ok.",0
Rezeki duduk tepi tingkap. Ahakkkks,0
rendang ayam untuk lunch hari ni. . i like it. thank you my momm,0
@aruz_3339 Bkan rezeki dh kat situ,0
"Assalammualaikum, kami niaga air kat baazar Keramat, hadapan UTC Keramat Mall, buat masa sekarang kami ada 3 jenis air :
-Jagung Ketagih
-Sirap Pandan Penggoda
-Greentea KawKaw
Tujuan kami niaga adalah untuk beli equipment band sebab kami masih baru. Support kami dan sebarkan! https://t.co/TkeZ4bDmXc",0
"@mimdeeana Goodluck Mim !
Semoga dipermudahkan urusan 
Insha Allah Aamiin",0
"Dekat rumah aku ni. Bisnes member. Kalau stay sini dekat nk ke Pulau Kapas, nak ke Kuala Terengganu dalam 20minit. Senang cite chalet ni dekat dengan Masjid Rusila Haji Hadi tu. https://t.co/cthwOMPnqk",0
Morning uoalss..Salam mnjemput rezeki orait hari ini seprti biasa Nasi Kandar Melayu Apollo open di tiga2 lokasi y https://t.co/QbxMFfiwYA,0
@adamku80 Best tak hotel ni?,0
"I'm at Golden Screen Cinemas (GSC) - @gscinemas in Kuala Lumpur, WP Kuala Lumpur https://t.co/2w83q3GJ3P https://t.co/uBUmiXBZFl",0
"@dalietpeach @awmissqueen 1.) Cetaphil gentle skin cleanser
2.) St.Ives Apricot Scrub
3.) Baju rajut 

dom : depok https://t.co/kac7Bbijv4",0
"Jika berdua itu menyenangkan, maka sendiri itu menenangkan.
Menenangkan dalam angan njirr, bukan pada kenyataan.",0
"Menteri Dalam Negeri Tan Sri Muhyiddin Yassin hadir solat hajat, majlis bacaan Yassin dan doa selamat sempena progr https://t.co/QTfIwUnss5",0
Rujaan yuk uuuhhh enak ini mantep mangga muda yuk semua https://t.co/76NiC5ndjq,0
@larasati3267 @AnitaOk54251062 @kurawa Udah jelas lah regulatory bodynya siapa. Dia yg bikin peraturan dia yg setti https://t.co/5YM0oWcoCK,0
"Meski ternyata kau tidak menjadikan aku sebagai tujuan, pernah membuatmu tersenyum adalah sebaik-baiknya perjalanan.

@sigialia",0
"ha, siapa nak kena panggil bae boleh la start pakai jubah hitam/putih. full set baju melayu dah tak valid",0
baru gwe tau yg niaga ni seronok ,0
"PAK ODI Cup
3rd Match
BAL 109-1
Overs 18
Asad 21*
Zeeshan 67*
#SINvBAL
#
#ABDUL RAHMAN",0
"SMV tiada isteri. Tuanku berhak pilih pasangan hidup dgn majlis seperti mana ada sebab tuanku mampu.

Ramai yg kond https://t.co/fSL2y0lQah",0
"Let's kill this love!
Rum, pum, pum, pum, pum, pum, pum

*dah kenapa lagu blackpink dalam kepala aku ni ",0
So tq again and babai,0
@damndaisy Hitam serious panas. And kalau nak betul2 lawa kene pakai cat mahal utk tak nmpk comot. Tp tu lah. Hitam https://t.co/3xBHpbCb1i,0
"= Jika Gizi Belum Seimbang, Cobalah Minum Susu https://t.co/2M2TZfX5h3",0
"Fungsinya menyusui ya memang itu  bikin hati ibu bahagia karena meransang hormon2 endorfin. bayi juga nyaman.

b https://t.co/tlmHSCkXCc",0
"2nd time! (@ MBO Cinemas in Petaling Jaya, Selangor) https://t.co/2TXa1mxW3l",0
"Ayah : Eh nur 2 heroin dia amyra rosli pulak? Bukan tiz zaqyah ke?
Me : itu nur kasih yahhhhh",0
Yeayyyyyy I got my UniCool  semua sedapppp tapi kita rasa paling sedap UniCool Dazzle https://t.co/OxTNyWxSp7,0
"@ivnmrnda Kwetiaw Sapi Kelapa Gading is a personal favourite; tempatnya simpel dan.. well, it's at Gading.

https://t.co/oNNRrJwnr1",0
@khuzaimikadir Quu pun apa kurangnyaa. Selalu handsome. Aiman jarang jarang ,0
"Serunya Berburu Kerang hingga Udang Jumbo Harga Miring di Pasar Ikan Muara Baru Pasar Ikan Modern (PIM) Muara Baru, https://t.co/5KqWgv1HuC",0
@thehanter02 @conan_idn @SuaraAnies @FerdinandHaean2 Karena mereka Istiqomah berjuang dalam bidang dakwah bukan Bis https://t.co/RJpcCepWHA,0
"@ashokguevara1 @Sir_Azri @anwaribrahim @KarpalSinghDAP Bro, pergi baca balik penghakiman mahkamah Persekutuan. Bg a https://t.co/JlUvAPfg3p",0
Sate gukguk gurih &amp; lezat ada d kota solo https://t.co/uMggTZHsg8,0
Kan best kalau ada peti sejuk mini dalam bilik,0
"SPYSHOT: Perodua uji Daihatsu Tanto  ciri keselamatan aktif ASA untuk Axia, Myvi akandatang? https://t.co/ZqrUBn2Uic",0
"5 skill yang kita perlu ada untuk survive dalam kehidupan:
1) membaca
2) menulis
3) public speaking
4) computer cod https://t.co/sz356Hbqns",0
Selepas hampir seminggu ulang alik kb-sp.. sungai petani quite convenient banyak kemudahan yang ada #impression,0
"Di Negara Maju, pandangan rakyat keseluruhan diambil sebelum keputusan menurunkan Umur Mengundi kepada 18 Tahun, YB https://t.co/88E36SjlYc",0
Fadzly acah acah comel ambik video kucing lepak atas katil dia. Sekali kucing tu bangun asah kuku kat cadar dia. Ha https://t.co/IseKpksDDX,0
Latest design #SugarScarf nampak exclusive and simple  warna dia dah la pastel senang nak matching dengan banyak b https://t.co/LreFpEOWgq,0
Tahniah Liverpool juara Super Cup 2019 Istanbul  dan Fifa World Club Cup 2019  nak pin tweet ni,0
"@tubirfess Kalau menurut gua sih, lebih banyak di publikasikan aja. Bicara soal budaya, gua kagum sama China. Merek https://t.co/Ct5v0R0FE6",0
Tumben Indah Kusumadewi ndak menor tadi ke Indomaret. Biasanya ga pernah lupa pake mascara ato eyeliner. Tp td bene https://t.co/Hs3Uod3N6F,0
Emang suka kacang,0
"Resepi minuman untuk turunkan kolesterol dan berat badan. Untuk hasil yang positif, amalkan satu gelas setiap hari.

https://t.co/lT2GvITfmx",0
" Atasan  gue 

 bagusnya water tank nya pake mobil pick up naikin tangki atau nyari yg emang udah sama tangk https://t.co/WN1D08ySJW",0
"Tiba2 kawan Ali, Samdol, bgtau bengkel Phui Hock (PH) lagi bagus. Confirm sekali repair boleh settle la. PH pun ber https://t.co/VcGraelKlS",0
"@tubirfess Mau jadi tai kucing aja,  kan asik bisa santai di pinggir jalan tanpa ada yang merhatiin dan selalu dihi https://t.co/waULBLFttn",0
"Catatan Dhuha.

Ikhlas senang diucap dan ditulis, tetapi sukar untuk melaksanakannya. Ibadah puasa merupakan wasila https://t.co/nqh1hjX3Nh",0
even moisturizer ke apa apa yg ditepek dimukaku &amp; juga dimukamu pun aku rasa better double clean duluuuuuu. fresh pun fresh muka,0
"1).  DIRECT LETTING ALONG ADENIYI JONES - IKEJA.
Commercial Office Space measuring 166sqm along Adeniyi Jones Avenu https://t.co/SOhv5gic4u",0
"@hiimamera Saya percaya. sama la macam kampung sya dekat Alor Setar. Pocong, penanggal, toyol semua tuh dah biasa. https://t.co/Bxdttlm9y1",0
@MyMeleTOP @nabilmahir RESPECT YOUR FOOD AT ALL COST! Tu rezeki lah woi! Ya Allahhhhhhhhhhhhhhh kenapa manusia begini masih wujud? ,0
@ecrlOfficial Terima kasih @NajibRazak,0
"@lNDOMY @BTS_twt rasa ingin ada disitu tapi ya sugalah trima nasib hanya menjadi fans modal kuota

#MTVLAKPOPBTS https://t.co/c6mIgByMsT",0
"#Endgame kali ke-4 (@ Golden Screen Cinemas (GSC) - @gscinemas in Putrajaya, WP Putrajaya) https://t.co/1bjpBvXMoP",0
/biu/ Gaiss rekomendasiin lipgloss yg bagus dan murce dongg  https://t.co/ZH1uaflECT,0
Akan Ada Bus DAMRI Gratis dari Bandung ke Bandara Kertajati https://t.co/xipoLNn42L #infoBDG https://t.co/uDGm4u6A2t,0
banyak banget film bagus keluar. ambil semua uangku.,0
@askmenfess Ngga tau tapi aku suka dimsum. c,0
SPIL Beri Manfaat Tambahan untuk Pembayaran Digital https://t.co/2ghNZo5SJT https://t.co/XvQdB1RZxf,0
"Ready Bowler hat,beanie hat,snapback,Tongsis,lazypod,Fish eye 3in1,fish eye clip,dan powerbank merek samsung 3800ma https://t.co/rqUjnrSfb5",0
Instagram aku ni sweet tau org yg couple2 tu mesti insta story diorang sebelah2. Dh lama sis perhati ahha,0
"Budak2 negeri sembilan yg dok kl jgn acah2 sngt twit balik kampung beraya bagai..

Engkau tiap minggu balik kg..

Ayam bertelur pun balik kg.. 

Ada lagi, yg dok seremban..keja klcc..",0
"@Tia43655439 Gratis massage, lulur,scrub utk wanita, buat pasutri cukup ganti  transport serelanya, by mas Jhon, pr https://t.co/1AHWThT3H1",0
Terima kasih banyak untuk pemirsa GTV yang selalu setia mendukung program Bedah Rumah Baru Spesial Amazing 17 sehin https://t.co/LuYznqXjEV,0
"RASA YANG ANDA SUKA, NUTRISI YANG ANDA BUTUHKAN! Have you had your shake today?

Coach Grace  081319138584 / WA https://t.co/R60RjTz0Y5",0
"@alitpriyo_ @aniknur_azizah @opang_opank @Dhanymandan @basukirackmat10 @ellopambudi @DhionKharisma Lumayan 
Pampers lancar",0
@tiaraoktariniex pandai kali tirto ni. peluangnya pas kali sekarang. bahasannya jadi relatable ,0
#AME2019 gempak,0
"Setelah diwarnai bocoran, akhirnya OnePlus 7 dan OnePlus 7 Pro resmi diumumkan. Berikut sederet keunggulan yang dim https://t.co/Jp1AlZs5Fx",0
" semua jawaban harus berupa thread. Kalian bisa quote soal terus diurutin, difoto urut sesuai nomor soal, atau see https://t.co/jnqRIyV1Vk",0
Tapi tanak ayat manis. Tu lagi cepat kena kencing manis huh,0
"Masukkan je semua bahan then set mode. 

The best thing is tak payah rebus daging asing. Masak je sekali dengan nas https://t.co/zSgizfVg7O",0
"Semua medsos, media mainstream, netizen mendiskusikan seorang ISTRI YANG TERJUNGKAL.
Hanya @MetroTVNewsRoom yg beru https://t.co/RrG1fSFdEs",0
Malaysia Airlines lancar aplikasi MHassistant sebagai rakan kembara https://t.co/luEPY5cPxx https://t.co/u6r3mYgU1z,0
"Bo jogja
Lc
Ready setiap hari
0877 4201 0769
#jogjabirahi #bo #jogjalendir #jogjanikmat #jogjanakal #jogjacrot https://t.co/qk3D4s142O",0
Beli topup rm5 . dpt cashback rm0.90 . ok lah drpd takde kan  #tngewallet,0
"Homesweethome (@ Gugusan Dahlia Seksyen 8 in Petaling Jaya, Selangor) https://t.co/Tw5eoTUYnQ",0
@muhdhfznn_ Senang jela bro,0
"Mentari tersenyum rindu
Melihat bunga-bunga menunggu
Kehangatan kecupan kupu-kupu
Seperti rasa dalam hatiku
Aku set https://t.co/IVIbGbxJCo",0
@hidayah_hn Utk sape yg suka pahit coffee ok ar kot.. ,0
@SyedSaddiq Restu ibu sampai ke syurga. Tahniah bro Saddiq. All the best.,0
"Meskipun sikcil puasa cuma stgah hari tp psti ttp bangga y bunda,yg pling pnting sikcil paham arti puasa,Jngn lupa https://t.co/41ycql92F4",0
"Apa ga ada selebtwit/influencer yg followernya berjuta2 yg inisiatif bikin acara ""Lilin Damai buat Indonesia"" apa g https://t.co/JfHUWINJiT",0
Terbaik celcom,0
kita pahat dalam hati  diingat sampai bila-bila . jadikan motivasi .,0
"@ayunqee Tapi baik dia, selalu ngalah ama yg cewek2. Lelaki idaman ",0
"Yeah,  nasib baik ending best",0
"Lelaki pakai baju batik ,perempuan pakai kebaya pi kenduri kawin   ! PERFECT  ",0
"Selamat menonton , jangan lupa tekan button like dan subscribe 
.
.
akudandrone @ Terengganu https://t.co/DgW7eymIgo",0
Nikon 50mm f1.4D teramat lah sedap haihh nafsu nafsu,0
"Kalau nak tahu sumber kekayaan Dinasti Madey, tanya Anwar Ibrahim ..   feeling crazy",0
"Nak wangi,  guna blush perfume @ Parit Buntar https://t.co/0wahVwlr9x",0
[Askmf] saran lagu yang vibenya kaya sorai-nya nadin atau lagu2nya ardhito dong? Indo atau western bebas. Thank you!,0
Komunitas Bangku Pelosok Galang Dana Untuk Fasilitas PendidikanDesa https://t.co/kdfOnzCMUR https://t.co/z9dpKvt3dx,0
"List of Tesco Malaysia Outlet yang jual:
Ampang
Cheras
Setia Alam
Manjung
Nilai
Kota Bharu
Mutiara
Kepong 
Puchong https://t.co/IWOJeZoZsh",0
Puas tidur ,0
"INAI KENING CANTIK MUMMY SYASYA
-
Kelebihan inai kening cantik :
-
 jimat masa
 halal
 mesra wuduk
 tahan berh https://t.co/sShq9PbCzP",0
"Menurutnya, Pemkab Halbar menargetkan 10 ribu kunjungan wisatawan baik domestik maupun mancanegara di 2019. Untuk i https://t.co/f0M3Nvnsp5",0
"Makin ga sabar nunggu tanggal 12 April
BTS comeback
Game BTS World rilis
Boy in Luv ft Halsey rilis
@BTS_twt https://t.co/DCVfV0Pczh",0
@VCUiTM Guys datin ni kan pnh listed dlm forbes and berjaya dlm industri fashion..lgi pon uitm kan ad fakulti untuk https://t.co/R6CSV7LzX1,0
Coba mun ku opening liat kali jak nak bangun awal tokkkkkkk isivjejfjaisjahdh,0
"@ryujinddae lagu itu enak ya, tapi saya lebih suka yang keep on loving you. 
selain itu ada suka lagu lain?",0
@AnasZahideen makin lama makin kelakar la nas ,0
13. Dilanjutkan dgn paparan Kuswandono yg mengangkat kedaulatan rakyat dalam pengelolaan kawasan TNGC. Pelibatan ma https://t.co/IhtC9JCmsV,0
"@mahendra_agnaf Karna tanpa jaslab, kamu hanya terlihat seperti mas2 yg suka maen ke kampus lalu nongkrong gajelas :p",0
@peaceminusf5 IYAAAAAAAAAAAAAA EEGHHHHHHHHHHHHHHHHHHHHHHHBBBB NAK JE CUBIT KUAT KUAT KUAT KUAT BIAR MERAH SAMPAI RAYA BLUEK,0
"Ready. 
Kebaya, Kemeja dll
https://t.co/3LHR2cyUcR
Wa. 0857 9255 7748
Pasti Pas, Rapi, dan Nyaman 
Terima Pesanan https://t.co/F1cGL6fF9v",0
Semoga urusan kak timah berjalan dengan lancar harini aminnnn ,0
"Tanah lot banglo RM20 1 lot, luas 5800KP di kg Chegar Bedil Jeli. pemaju, individu, pertubuhan, syarikat dipelawa tunjuk minat.",0
"Dinahh (@ Sushi King in Kota Bharu, Kelantan w/ @aslindabdullah) https://t.co/sGhyGp5IGZ",0
"Saat yang dinanti-nantikan telah tiba, parents!  Dengan pembelian Drypers Wee Wee Dry terpilih - dapatkan Drypers https://t.co/CTAqb0M8An",0
"Kita semua sayang kamu 
#_ https://t.co/G2nJUNABzG",0
"Selamat Hari Bapa ayah.
Ya allah aku bersyukur kau permudahkan urusan ayahku.
Moga kau tempatkan dia dikalangan ora https://t.co/ivXwMO2hzY",0
"Yang stay area Nilai, Negeri Sembilan &amp; free hujung minggu ni jom guyssss kita hiking sama sama ke Gunung Datuk. Ka https://t.co/TbjdIwRuAP",0
"Selamat hari jadi yang ke-6 serkel kere ku, semoga orang-orangnya panjang umur, sehat selalu, semoga semuanya sayan https://t.co/IRYdhNql2Q",0
Ya Allah happy nya air asia ade sale in few days more!! Dah laaa im the one yg uruskan untuk booking 30++ flight ticket ,0
53.Smoga kita semua bisa amanah dan belajar dr kjdian diatas khususnya utk kampung halaman istriku semoga pejabat d https://t.co/fiP6bmWKJC,0
Too many good soul Allah dah tarik awal...,0
"Program Amalan Demokrasi Berparlimen Kelab Malaysiaku Per. SMK Bukit Jawa,Pasir Puteh telah diadakan pada 10 April https://t.co/and7lxYJQZ",0
@airlshah bila tu? ada training maa.. skrang dkt UniKL,0
Dan sekarang ucapan terima kasih harusnya kita haturkan kepada tim KPPS yg sudah menghitung manual surat suara di TPS dengan teliti.,0
"Cuba scan apa yang keluar? 

Nak mudah click link di bawah ni je 

https://t.co/Eq7rrlCSp4

#SayaAgenCUCKOO https://t.co/aAi9F2DAvI",0
"Onom! Nom! Nom! 
Muka puas dpt mkn @ Restoran Murni, Dataran Mentari https://t.co/JrJzfLjEQX",0
"I'm at Tealive Ss15 in Subang Jaya, Selangor https://t.co/ikH7eDZqUX",0
"jika aku berani menyapanya, apa keadaan akan berubah?
jika aku memberanikan diri untuk mengenalnya, apa dia akan me https://t.co/ML5hxY0vvz",0
